,announce_ts,prefix,m17d-bgp,m17c-bgp,m169-bgp,m17d-openflow,m17c-openflow,m169-openflow
0,1569138221.568,145.46.208.0/24,1569181420.710842,1569181424.736615,1569181419.695016,1569181420.715276,1569181424.743467,1569181419.702044
1,1569138238.575,240.238.220.0/24,1569181420.710842,1569181424.736615,1569181419.801456,1569181420.726304,1569181424.753167,1569181419.813205
2,1569138237.331,11.247.40.0/24,1569181420.710842,1569181424.736615,1569181420.014032,1569181420.726327,1569181424.753167,1569181420.017023
3,1569138278.682,253.142.42.0/24,1569181420.710842,1569181424.736615,1569181420.326946,1569181420.726418,1569181424.753194,1569181420.330678
4,1569138327.244,159.78.31.0/24,1569181420.710842,1569181424.736615,1569181420.433068,1569181420.730428,1569181424.753276,1569181420.437524
5,1569138363.997,173.119.144.0/24,1569181425.709477,1569181424.736615,1569181420.852181,1569181425.73206,1569181424.770851,1569181420.857915
6,1569138329.042,17.83.191.0/24,1569181425.709477,1569181424.742083,1569181421.363103,1569181425.732084,1569181424.770875,1569181421.367748
7,1569138266.436,246.104.160.0/24,1569181425.709477,1569181424.742083,1569181421.891823,1569181425.732155,1569181424.770889,1569181421.898252
8,1569138224.713,188.50.95.0/24,1569181420.710842,1569181424.736615,1569181420.220462,1569181420.726369,1569181424.753167,1569181420.224886
9,1569138275.468,60.247.173.0/24,1569181425.709477,1569181424.742083,1569181422.304767,1569181425.73537,1569181424.770964,1569181422.310379
10,1569138374.81,199.171.205.0/24,1569181425.709477,1569181424.742083,1569181422.611837,1569181425.741224,1569181424.770964,1569181422.619187
11,1569138257.404,131.138.6.0/24,1569181425.709691,1569181424.742083,1569181423.138621,1569181425.749758,1569181424.772902,1569181423.145275
12,1569138388.025,10.242.59.0/24,1569181425.709691,1569181424.742083,1569181423.660363,1569181425.820499,1569181424.784176,1569181423.668113
13,1569138248.824,58.46.160.0/24,1569181425.709691,1569181424.742083,1569181423.766424,1569181425.820512,1569181424.784176,1569181423.773909
14,1569138291.352,20.186.130.0/24,1569181425.709477,1569181424.736615,1569181420.53936,1569181425.714387,1569181424.770851,1569181420.544328
15,1569138306.311,151.202.24.0/24,1569181425.709691,1569181424.742083,1569181424.192367,1569181425.829677,1569181424.784203,1569181424.197204
16,1569138253.733,53.1.80.0/24,1569181425.709477,1569181424.742083,1569181422.925888,1569181425.741224,1569181424.770964,1569181422.932448
17,1569138421.062,95.204.129.0/24,1569181425.709691,1569181424.742083,1569181424.511456,1569181425.855988,1569181424.784282,1569181424.517735
18,1569138285.263,141.162.200.0/24,1569181425.709691,1569181429.734744,1569181425.129945,1569181425.870812,1569181429.743926,1569181425.136698
19,1569138349.374,165.132.229.0/24,1569181425.709691,1569181429.734744,1569181425.333403,1569181425.879062,1569181429.756898,1569181425.337623
20,1569138339.922,109.65.3.0/24,1569181425.709691,1569181424.742083,1569181423.244537,1569181425.797923,1569181424.784176,1569181423.251399
21,1569138352.48,132.167.108.0/24,1569181430.709601,1569181429.734744,1569181425.749091,1569181430.730922,1569181429.765082,1569181425.756661
22,1569138304.944,41.144.67.0/24,1569181430.709601,1569181429.734744,1569181425.854977,1569181430.730951,1569181429.765108,1569181425.861256
23,1569138230.038,250.43.157.0/24,1569181425.709691,1569181429.734744,1569181424.923715,1569181425.862808,1569181429.741434,1569181424.931219
24,1569138364.103,75.88.241.0/24,1569181430.709601,1569181429.734744,1569181426.066605,1569181430.730951,1569181429.776354,1569181426.070419
25,1569138235.562,239.93.27.0/24,,,1569181426.272844,,,1569181426.278659
26,1569138250.493,151.27.17.0/24,1569181430.709601,1569181429.734744,1569181426.378661,1569181430.730987,1569181429.776354,1569181426.384521
27,1569138405.954,250.86.78.0/24,1569181425.709691,1569181424.742083,1569181423.979018,1569181425.825337,1569181424.784197,1569181423.984802
28,1569138226.897,182.135.232.0/24,1569181430.709601,1569181429.734957,1569181426.796612,1569181430.738611,1569181429.776354,1569181426.803448
29,1569138422.716,211.162.216.0/24,1569181430.709601,1569181429.734957,1569181427.115254,1569181430.77727,1569181429.77639,1569181427.128081
30,1569138324.744,148.96.70.0/24,1569181430.709785,1569181429.734957,1569181427.531744,1569181430.799041,1569181429.78489,1569181427.541104
31,1569138346.779,68.75.29.0/24,1569181430.709601,1569181429.734957,1569181427.009479,1569181430.743751,1569181429.776382,1569181427.01702
32,1569138417.36,243.117.29.0/24,1569181430.709785,1569181429.734957,1569181427.426315,1569181430.795855,1569181429.77639,1569181427.432745
33,1569138262.374,132.31.40.0/24,1569181430.709785,1569181429.734957,1569181428.390449,1569181430.820169,1569181429.78489,1569181428.397232
34,1569138418.787,144.181.230.0/24,1569181430.709785,1569181429.734957,1569181428.700886,1569181430.835874,1569181429.784911,1569181428.706811
35,1569138311.12,78.241.164.0/24,1569181430.709785,1569181429.734957,1569181429.208641,1569181430.844833,1569181429.784911,1569181429.216045
36,1569138285.889,178.56.77.0/24,1569181430.709785,1569181434.735366,1569181430.149875,1569181430.874746,1569181434.753478,1569181430.152116
37,1569138253.946,81.200.179.0/24,1569181430.709785,1569181434.735366,1569181430.362545,1569181430.896599,1569181434.758606,1569181430.366222
38,1569138405.642,29.46.165.0/24,1569181435.709779,1569181434.735366,1569181430.46805,1569181435.714408,1569181434.760878,1569181430.470966
39,1569138230.669,173.234.246.0/24,1569181435.709779,1569181434.735366,1569181430.674453,1569181435.737597,1569181434.764957,1569181430.677891
40,1569138304.525,215.94.68.0/24,1569181435.709779,1569181434.735366,1569181430.780834,1569181435.737597,1569181434.764957,1569181430.786406
41,1569138400.122,73.13.35.0/24,1569181435.709779,1569181434.735366,1569181430.993176,1569181435.737643,1569181434.770586,1569181431.000315
42,1569138310.179,39.254.196.0/24,1569181435.709779,1569181434.735672,1569181431.099272,1569181435.737643,1569181434.770586,1569181431.107537
43,1569138365.557,102.102.109.0/24,1569181430.709785,1569181434.735366,1569181430.042998,1569181430.864185,1569181434.74509,1569181430.049045
44,1569138298.252,45.231.124.0/24,1569181435.709779,1569181434.735672,1569181432.028495,1569181435.75144,1569181434.783351,1569181432.035157
45,1569138412.068,221.234.19.0/24,1569181435.70994,1569181434.735672,1569181432.235322,1569181435.771342,1569181434.783351,1569181432.238413
46,1569138266.332,169.180.52.0/24,1569181435.70994,1569181434.735672,1569181432.64841,1569181435.80729,1569181434.783374,1569181432.653448
47,1569138354.042,157.236.12.0/24,1569181435.70994,1569181434.735672,1569181432.754966,1569181435.7954,1569181434.783351,1569181432.761483
48,1569138232.956,172.207.183.0/24,1569181435.70994,1569181434.735672,1569181432.961737,1569181435.820969,1569181434.783374,1569181432.969116
49,1569138281.815,180.116.222.0/24,1569181435.70994,1569181434.735672,1569181433.268954,1569181435.820969,1569181434.790176,1569181433.277406
50,1569138260.717,202.49.229.0/24,1569181435.70994,1569181434.735672,1569181433.479498,1569181435.820969,1569181434.790176,1569181433.485968
