,announce_ts,prefix,m17d-bgp,m17c-bgp,m169-bgp,m17d-openflow,m17c-openflow,m169-openflow
0,1569137847.833,48.220.159.0/24,1569181031.690307,1569181030.913634,1569181025.90597,1569181031.694455,1569181030.920125,1569181025.911914
1,1569137835.409,106.24.246.0/24,1569181031.690307,1569181030.913634,1569181026.010454,1569181031.69731,1569181030.927084,1569181026.0191
2,1569137831.201,111.105.233.0/24,1569181031.690307,1569181030.913634,1569181026.11651,1569181031.716624,1569181030.927111,1569181026.122835
3,1569137830.375,239.76.233.0/24,,,1569181026.219541,,,1569181026.226804
4,1569137826.83,53.220.90.0/24,1569181031.690307,1569181030.913634,1569181026.529092,1569181031.734533,1569181030.927143,1569181026.543679
5,1569137831.306,142.152.234.0/24,1569181031.690307,1569181030.913634,1569181027.142277,1569181031.744268,1569181030.927143,1569181027.146075
6,1569137827.347,244.105.40.0/24,1569181031.690307,1569181030.913634,1569181027.353447,1569181031.755413,1569181030.927173,1569181027.358285
7,1569137849.195,199.128.112.0/24,1569181031.690307,1569181030.913634,1569181027.659447,1569181031.762781,1569181030.94018,1569181027.664672
8,1569137827.76,116.147.93.0/24,1569181031.690307,1569181030.913634,1569181027.766211,1569181031.771379,1569181030.940201,1569181027.770987
9,1569137886.433,141.249.37.0/24,1569181031.690307,1569181030.913634,1569181028.078623,1569181031.780967,1569181030.940232,1569181028.086682
10,1569137828.489,64.63.33.0/24,1569181031.690307,1569181030.913634,1569181028.494958,1569181031.789448,1569181030.940232,1569181028.501948
11,1569137828.695,72.235.205.0/24,1569181031.693066,1569181030.919172,1569181028.701208,1569181031.796593,1569181030.940256,1569181028.709342
12,1569137828.801,207.117.146.0/24,1569181031.693066,1569181030.919172,1569181028.807747,1569181031.807219,1569181030.94029,1569181028.813572
13,1569137866.533,190.56.124.0/24,1569181031.693066,1569181030.919172,1569181028.913883,1569181031.814985,1569181030.94029,1569181028.917744
14,1569137849.302,139.179.42.0/24,1569181031.693066,1569181030.919172,1569181029.020326,1569181031.825886,1569181030.940305,1569181029.024124
15,1569137833.303,187.246.78.0/24,1569181031.693066,1569181030.919172,1569181029.2273,1569181031.833514,1569181030.940341,1569181029.233568
16,1569137901.433,16.7.125.0/24,1569181031.693066,1569181030.919172,1569181029.333842,1569181031.842525,1569181030.940341,1569181029.340438
17,1569137928.265,198.217.71.0/24,1569181031.693066,1569181030.919172,1569181029.646664,1569181031.85263,1569181030.941949,1569181029.653219
18,1569137829.853,176.173.30.0/24,1569181031.693066,1569181030.919172,1569181029.859377,1569181031.858831,1569181030.947351,1569181029.867609
19,1569137866.327,23.228.233.0/24,1569181031.693066,1569181030.919172,1569181029.965692,1569181031.865344,1569181030.947381,1569181029.973342
20,1569137907.787,175.212.108.0/24,1569181031.693066,1569181030.919172,1569181030.171842,1569181031.880104,1569181030.947404,1569181030.178191
21,1569137900.072,207.126.208.0/24,1569181031.693066,1569181030.919172,1569181030.275169,1569181031.872272,1569181030.947404,1569181030.281449
22,1569137833.09,100.160.116.0/24,1569181036.689227,1569181035.911855,1569181030.585063,1569181036.693837,1569181035.918303,1569181030.592525
23,1569137836.243,214.14.176.0/24,1569181036.689227,1569181035.911855,1569181030.691141,1569181036.704444,1569181035.920086,1569181030.698996
24,1569137854.186,207.112.121.0/24,1569181036.689227,1569181035.911855,1569181030.898163,1569181036.70446,1569181035.927264,1569181030.904827
25,1569137842.49,93.189.241.0/24,1569181036.689227,1569181035.911855,1569181031.523589,1569181036.704521,1569181035.928998,1569181031.528509
26,1569137843.33,0.77.224.0/24,1569181036.689227,1569181035.911855,1569181031.629815,1569181036.710538,1569181035.933398,1569181031.637879
27,1569137924.105,2.171.26.0/24,1569181036.689227,1569181035.911855,1569181031.736846,1569181036.710538,1569181035.933422,1569181031.742179
28,1569137845.527,37.195.151.0/24,1569181036.689227,1569181035.911855,1569181031.94838,1569181036.734659,1569181035.933475,1569181031.953727
29,1569137832.048,136.0.189.0/24,1569181036.689227,1569181035.911855,1569181032.054477,1569181036.761978,1569181035.942909,1569181032.062046
