,announce_ts,prefix,m17d-bgp,m17c-bgp,m169-bgp,m17d-openflow,m17c-openflow,m169-openflow
0,1568974987.254,212.227.137.0/24,1569018192.107863,1569018191.446468,1569018187.258973,1569018192.116299,1569018191.457031,1569018187.271577
1,1568974987.36,8.126.36.0/24,1569018192.107863,1569018191.446468,1569018187.364923,1569018192.127343,1569018191.461321,1569018187.375055
2,1568974987.466,236.199.137.0/24,,,1569018187.472577,,,1569018187.482478
3,1568974987.574,17.185.35.0/24,1569018192.107863,1569018191.446468,1569018187.580968,1569018192.127362,1569018191.465393,1569018187.591397
4,1568974987.682,35.239.220.0/24,1569018192.107863,1569018191.446468,1569018187.690236,1569018192.134747,1569018191.469352,1569018187.700428
5,1568974987.791,179.39.185.0/24,1569018192.107863,1569018191.446468,1569018187.794258,1569018192.184868,1569018191.473068,1569018187.803258
6,1568974987.895,191.115.207.0/24,1569018192.107863,1569018191.446468,1569018187.903004,1569018192.230251,1569018191.479305,1569018187.91348
7,1568974988.004,132.136.1.0/24,1569018192.107863,1569018191.446468,1569018188.010841,1569018192.212155,1569018191.47683,1569018188.021303
8,1568974988.113,29.71.61.0/24,1569018192.107863,1569018191.446468,1569018188.12004,1569018192.240058,1569018191.481627,1569018188.130883
9,1568974988.222,1.36.104.0/24,1569018192.107863,1569018191.446468,1569018188.228399,1569018192.25233,1569018191.483877,1569018188.238173
10,1568974988.33,111.183.251.0/24,1569018192.107863,1569018191.446468,1569018188.3373,1569018192.265948,1569018191.486213,1569018188.345521
11,1568974988.438,73.27.251.0/24,,,1569018188.444032,1569018192.303433,1569018191.488462,1569018188.45584
12,1568974988.545,227.1.98.0/24,,,1569018188.552292,,,1569018188.558736
13,1568974988.654,37.81.173.0/24,,,1569018188.660686,1569018192.331157,1569018191.490706,1569018188.667703
14,1568974988.762,207.204.250.0/24,,,1569018188.768666,1569018192.344463,1569018191.493179,1569018188.778356
15,1568974988.87,183.60.6.0/24,,,1569018188.876731,1569018192.35865,1569018191.496054,1569018188.884356
16,1568974988.978,100.244.23.0/24,,,1569018188.986169,1569018192.375639,1569018191.498534,1569018188.995557
17,1568974989.089,156.172.215.0/24,,,1569018189.096572,1569018192.41052,1569018191.501057,1569018189.106028
18,1568974989.198,59.53.188.0/24,,,1569018189.206139,1569018192.438797,1569018191.503492,1569018189.214175
19,1568974989.308,119.71.82.0/24,,,1569018189.316557,1569018192.460083,1569018191.505939,1569018189.326025
20,1568974989.418,164.195.56.0/24,,,1569018189.426615,1569018192.484882,1569018191.508418,1569018189.434751
21,1568974989.528,211.233.72.0/24,,,1569018189.534485,1569018192.504047,1569018191.510891,1569018189.54457
22,1568974989.636,205.88.66.0/24,,,1569018189.644277,1569018192.526674,1569018191.51344,1569018189.651941
23,1568974989.746,152.112.94.0/24,,,1569018189.754583,1569018192.549704,1569018191.515832,1569018189.76302
24,1568974989.856,148.218.126.0/24,,,1569018189.861717,1569018192.55754,1569018191.51836,1569018189.870907
25,1568974989.963,187.117.209.0/24,,,1569018189.96842,1569018192.565987,1569018191.520846,1569018189.979517
26,1568974990.069,113.120.109.0/24,,,1569018190.077339,1569018192.592964,1569018191.523401,1569018190.087881
27,1568974990.179,179.16.0.0/24,,,1569018190.187078,1569018192.617968,1569018191.52582,1569018190.199469
28,1568974990.288,212.206.126.0/24,,,1569018190.296071,1569018192.631272,1569018191.528291,1569018190.306199
29,1568974990.398,185.61.15.0/24,,,1569018190.406187,1569018192.643073,1569018191.530694,1569018190.414695
30,1568974990.508,150.92.95.0/24,,,1569018190.513066,1569018192.692322,1569018191.535592,1569018190.524775
31,1568974990.614,15.117.190.0/24,,,1569018190.621043,1569018192.65609,1569018191.533178,1569018190.625547
32,1568974990.722,201.85.241.0/24,,,1569018190.72992,1569018192.749077,1569018196.455273,1569018190.737201
33,1568974990.831,91.170.195.0/24,,,1569018190.837933,1569018192.723339,1569018196.452946,1569018190.84519
34,1568974990.939,247.158.196.0/24,,,1569018190.945562,1569018192.757009,1569018196.457544,1569018190.954578
35,1568974991.046,184.126.213.0/24,,,1569018191.054125,1569018192.765747,1569018196.459838,1569018191.059855
36,1568974991.155,71.152.41.0/24,,,1569018191.161719,1569018192.796166,1569018196.462221,1569018191.170469
37,1568974991.263,208.16.131.0/24,,,1569018191.270495,1569018192.823697,1569018196.464503,1569018191.281501
38,1568974991.372,126.22.26.0/24,,,1569018191.378915,1569018192.848945,1569018196.466751,1569018191.385011
39,1568974991.48,135.73.200.0/24,,,1569018191.487991,1569018192.858217,1569018196.469006,1569018191.498231
40,1568974991.589,179.235.179.0/24,,,1569018191.596069,1569018197.127574,1569018196.474372,1569018191.606091
41,1568974991.697,58.8.61.0/24,,,1569018191.705077,1569018197.11763,1569018196.471588,1569018191.717237
42,1568974991.806,180.159.119.0/24,,,1569018191.813552,1569018197.155163,1569018196.476819,1569018191.822974
43,1568974991.914,248.47.49.0/24,,,1569018191.916709,1569018197.192802,1569018196.479396,1569018191.926083
44,1568974992.017,92.173.248.0/24,,,1569018192.020939,1569018197.229923,1569018196.481729,1569018192.030105
45,1568974992.121,229.172.28.0/24,,,1569018192.125984,,,1569018192.137147
46,1568974992.227,101.43.203.0/24,,,1569018192.232494,1569018197.25636,1569018196.484154,1569018192.241897
47,1568974992.334,169.178.209.0/24,,,1569018192.33644,1569018197.287529,1569018196.486495,1569018192.349214
48,1568974992.437,64.161.87.0/24,,,1569018192.440613,1569018197.313653,1569018196.488983,1569018192.4492
