Connecting to host 1.0.0.1, port 5201
[  4] local 10.0.10.1 port 59643 connected to 1.0.0.1 port 5201
[ ID] Interval           Transfer     Bandwidth       Total Datagrams
[  4]   0.00-1.00   sec  82.6 MBytes   693 Mbits/sec  10577  
[  4]   1.00-2.00   sec  93.5 MBytes   784 Mbits/sec  11968  
[  4]   2.00-3.00   sec  92.5 MBytes   776 Mbits/sec  11841  
[  4]   3.00-4.00   sec  88.9 MBytes   746 Mbits/sec  11376  
[  4]   4.00-5.00   sec  89.4 MBytes   750 Mbits/sec  11447  
[  4]   5.00-6.00   sec  88.9 MBytes   746 Mbits/sec  11384  
[  4]   6.00-7.00   sec  91.3 MBytes   766 Mbits/sec  11681  
[  4]   7.00-8.00   sec  89.2 MBytes   749 Mbits/sec  11424  
[  4]   8.00-9.00   sec  91.0 MBytes   764 Mbits/sec  11651  
[  4]   9.00-10.00  sec  89.6 MBytes   751 Mbits/sec  11465  
[  4]  10.00-11.00  sec  91.1 MBytes   764 Mbits/sec  11659  
[  4]  11.00-12.00  sec  89.5 MBytes   751 Mbits/sec  11461  
[  4]  12.00-13.00  sec  89.4 MBytes   750 Mbits/sec  11438  
[  4]  13.00-14.00  sec  89.3 MBytes   749 Mbits/sec  11426  
[  4]  14.00-15.00  sec  89.6 MBytes   751 Mbits/sec  11464  
[  4]  15.00-16.00  sec  89.5 MBytes   750 Mbits/sec  11450  
[  4]  16.00-17.00  sec  88.9 MBytes   746 Mbits/sec  11383  
[  4]  17.00-18.00  sec  89.9 MBytes   754 Mbits/sec  11504  
[  4]  18.00-19.00  sec  89.6 MBytes   751 Mbits/sec  11464  
[  4]  19.00-20.00  sec  89.4 MBytes   750 Mbits/sec  11448  
[  4]  20.00-21.00  sec  89.6 MBytes   751 Mbits/sec  11464  
[  4]  21.00-22.00  sec  88.6 MBytes   744 Mbits/sec  11345  
[  4]  22.00-23.00  sec  90.1 MBytes   756 Mbits/sec  11535  
[  4]  23.00-24.00  sec  88.8 MBytes   745 Mbits/sec  11369  
[  4]  24.00-25.00  sec  89.0 MBytes   747 Mbits/sec  11391  
[  4]  25.00-26.00  sec  90.1 MBytes   756 Mbits/sec  11537  
[  4]  26.00-27.00  sec  88.9 MBytes   746 Mbits/sec  11383  
[  4]  27.00-28.00  sec  88.9 MBytes   746 Mbits/sec  11384  
[  4]  28.00-29.00  sec  89.2 MBytes   748 Mbits/sec  11415  
[  4]  29.00-30.00  sec  88.9 MBytes   746 Mbits/sec  11376  
[  4]  30.00-31.00  sec  89.9 MBytes   754 Mbits/sec  11504  
[  4]  31.00-32.00  sec  89.0 MBytes   747 Mbits/sec  11392  
[  4]  32.00-33.00  sec  89.8 MBytes   753 Mbits/sec  11496  
[  4]  33.00-34.00  sec  89.4 MBytes   750 Mbits/sec  11449  
[  4]  34.00-35.00  sec  89.1 MBytes   748 Mbits/sec  11407  
