Connecting to host 1.0.0.1, port 5201
[  4] local 10.0.10.1 port 57495 connected to 1.0.0.1 port 5201
[ ID] Interval           Transfer     Bandwidth       Total Datagrams
[  4]  81.00-82.00  sec   119 MBytes  1.00 Gbits/sec  15268  
[  4]  82.00-83.00  sec   119 MBytes  1.00 Gbits/sec  15258  
[  4]  83.00-84.00  sec   119 MBytes  1000 Mbits/sec  15254  
[  4]  84.00-85.00  sec   120 MBytes  1.01 Gbits/sec  15365  
[  4]  85.00-86.00  sec   119 MBytes   998 Mbits/sec  15236  
[  4]  86.00-87.00  sec   119 MBytes  1.00 Gbits/sec  15269  
[  4]  87.00-88.00  sec   118 MBytes   992 Mbits/sec  15144  
[  4]  88.00-89.00  sec   120 MBytes  1.01 Gbits/sec  15359  
[  4]  89.00-90.00  sec   119 MBytes   996 Mbits/sec  15204  
[  4]  89.00-90.00  sec   119 MBytes   996 Mbits/sec  15204  
- - - - - - - - - - - - - - - - - - - - - - - - -
[ ID] Interval           Transfer     Bandwidth       Jitter    Lost/Total Datagrams
[  4]   0.00-90.00  sec  10.6 GBytes  1.01 Gbits/sec  0.000 ms  0/1384153 (0%)  
[  4] Sent 1384153 datagrams
