Connecting to host 1.0.0.1, port 5201
[  4] local 10.0.10.1 port 56133 connected to 1.0.0.1 port 5201
[ ID] Interval           Transfer     Bandwidth       Total Datagrams
[  4]   0.00-1.00   sec   109 MBytes   918 Mbits/sec  14009  
[  4]   1.00-2.00   sec   119 MBytes  1.00 Gbits/sec  15259  
[  4]   2.00-3.00   sec   118 MBytes   993 Mbits/sec  15156  
[  4]   3.00-4.00   sec   120 MBytes  1.01 Gbits/sec  15375  
[  4]   4.00-5.00   sec   119 MBytes   995 Mbits/sec  15179  
[  4]   5.00-6.00   sec   120 MBytes  1.01 Gbits/sec  15358  
[  4]   6.00-7.00   sec   118 MBytes   990 Mbits/sec  15111  
[  4]   7.00-8.00   sec   119 MBytes  1.00 Gbits/sec  15274  
[  4]   8.00-9.00   sec   119 MBytes  1.00 Gbits/sec  15263  
[  4]   9.00-10.00  sec   120 MBytes  1.01 Gbits/sec  15356  
[  4]  10.00-11.00  sec   119 MBytes  1.00 Gbits/sec  15263  
[  4]  11.00-12.00  sec   118 MBytes   994 Mbits/sec  15164  
[  4]  12.00-13.00  sec   119 MBytes  1.00 Gbits/sec  15272  
[  4]  13.00-14.00  sec   120 MBytes  1.00 Gbits/sec  15306  
[  4]  14.00-15.00  sec   119 MBytes   997 Mbits/sec  15221  
[  4]  15.00-16.00  sec   119 MBytes   998 Mbits/sec  15235  
[  4]  16.00-17.00  sec   119 MBytes   999 Mbits/sec  15244  
[  4]  17.00-18.00  sec   119 MBytes  1.00 Gbits/sec  15270  
[  4]  18.00-19.00  sec   119 MBytes  1.00 Gbits/sec  15260  
[  4]  19.00-20.00  sec   119 MBytes   999 Mbits/sec  15247  
[  4]  20.00-21.00  sec   120 MBytes  1.01 Gbits/sec  15370  
[  4]  21.00-22.00  sec   118 MBytes   993 Mbits/sec  15147  
[  4]  22.00-23.00  sec   120 MBytes  1.00 Gbits/sec  15324  
[  4]  23.00-24.00  sec   120 MBytes  1.00 Gbits/sec  15300  
[  4]  24.00-25.00  sec   119 MBytes   997 Mbits/sec  15208  
[  4]  25.00-26.00  sec   119 MBytes   998 Mbits/sec  15223  
[  4]  26.00-27.00  sec   119 MBytes   999 Mbits/sec  15238  
[  4]  27.00-28.00  sec   119 MBytes  1.00 Gbits/sec  15276  
[  4]  28.00-29.00  sec   120 MBytes  1.01 Gbits/sec  15350  
[  4]  29.00-30.00  sec   119 MBytes  1.00 Gbits/sec  15266  
[  4]  30.00-31.00  sec   118 MBytes   993 Mbits/sec  15152  
[  4]  31.00-32.00  sec   120 MBytes  1.01 Gbits/sec  15360  
[  4]  32.00-33.00  sec   119 MBytes  1.00 Gbits/sec  15280  
[  4]  33.00-34.00  sec   119 MBytes   998 Mbits/sec  15233  
[  4]  34.00-35.00  sec   119 MBytes   995 Mbits/sec  15185  
[  4]  35.00-36.00  sec   120 MBytes  1.01 Gbits/sec  15338  
[  4]  36.00-37.00  sec   119 MBytes   998 Mbits/sec  15229  
[  4]  37.00-38.00  sec   119 MBytes  1.00 Gbits/sec  15275  
[  4]  38.00-39.00  sec   119 MBytes  1000 Mbits/sec  15258  
[  4]  39.00-40.00  sec   118 MBytes   994 Mbits/sec  15161  
[  4]  40.00-41.00  sec   120 MBytes  1.01 Gbits/sec  15366  
[  4]  41.00-42.00  sec   119 MBytes  1.00 Gbits/sec  15268  
[  4]  42.00-43.00  sec   118 MBytes   992 Mbits/sec  15135  
[  4]  43.00-44.00  sec   120 MBytes  1.01 Gbits/sec  15406  
[  4]  44.00-45.00  sec   118 MBytes   994 Mbits/sec  15165  
[  4]  45.00-46.00  sec   119 MBytes  1.00 Gbits/sec  15281  
[  4]  46.00-47.00  sec   120 MBytes  1.00 Gbits/sec  15302  
[  4]  47.00-48.00  sec   118 MBytes   993 Mbits/sec  15155  
[  4]  48.00-49.00  sec   119 MBytes  1.00 Gbits/sec  15269  
[  4]  49.00-50.00  sec   119 MBytes  1.00 Gbits/sec  15269  
[  4]  50.00-51.00  sec   120 MBytes  1.01 Gbits/sec  15339  
[  4]  51.00-52.00  sec   118 MBytes   993 Mbits/sec  15159  
[  4]  52.00-53.00  sec   120 MBytes  1.01 Gbits/sec  15357  
[  4]  53.00-54.00  sec   119 MBytes  1.00 Gbits/sec  15260  
[  4]  54.00-55.00  sec   119 MBytes   996 Mbits/sec  15197  
[  4]  55.00-56.00  sec   119 MBytes  1000 Mbits/sec  15251  
[  4]  56.00-57.00  sec   119 MBytes   998 Mbits/sec  15234  
[  4]  57.00-58.00  sec   120 MBytes  1.01 Gbits/sec  15356  
[  4]  58.00-59.00  sec   119 MBytes   997 Mbits/sec  15216  
[  4]  59.00-60.00  sec   119 MBytes  1.00 Gbits/sec  15294  
[  4]  60.00-61.00  sec   119 MBytes  1000 Mbits/sec  15258  
[  4]  61.00-62.00  sec   119 MBytes  1.00 Gbits/sec  15259  
[  4]  62.00-63.00  sec   119 MBytes  1.00 Gbits/sec  15262  
[  4]  63.00-64.00  sec   119 MBytes  1.00 Gbits/sec  15273  
[  4]  64.00-65.00  sec   119 MBytes   995 Mbits/sec  15182  
[  4]  65.00-66.00  sec   120 MBytes  1.01 Gbits/sec  15340  
[  4]  66.00-67.00  sec   118 MBytes   992 Mbits/sec  15143  
[  4]  67.00-68.00  sec   119 MBytes  1.00 Gbits/sec  15260  
[  4]  68.00-69.00  sec   119 MBytes  1000 Mbits/sec  15257  
[  4]  69.00-70.00  sec   120 MBytes  1.01 Gbits/sec  15363  
[  4]  70.00-71.00  sec   118 MBytes   993 Mbits/sec  15158  
[  4]  71.00-72.00  sec   119 MBytes  1000 Mbits/sec  15259  
[  4]  72.00-73.00  sec   119 MBytes   999 Mbits/sec  15236  
[  4]  73.00-74.00  sec   120 MBytes  1.01 Gbits/sec  15392  
[  4]  74.00-75.00  sec   119 MBytes   998 Mbits/sec  15223  
[  4]  74.00-75.00  sec   119 MBytes   998 Mbits/sec  15223  
- - - - - - - - - - - - - - - - - - - - - - - - -
[ ID] Interval           Transfer     Bandwidth       Jitter    Lost/Total Datagrams
[  4]   0.00-75.00  sec  8.79 GBytes  1.01 Gbits/sec  0.000 ms  0/1152255 (0%)  
[  4] Sent 1152255 datagrams
