Connecting to host 1.0.0.1, port 5201
[  4] local 10.0.10.1 port 54941 connected to 1.0.0.1 port 5201
[ ID] Interval           Transfer     Bandwidth       Total Datagrams
[  4]  79.00-80.00  sec  91.3 MBytes   766 Mbits/sec  11684  
[  4]  80.00-81.00  sec  91.2 MBytes   765 Mbits/sec  11671  
[  4]  81.00-82.00  sec  90.0 MBytes   755 Mbits/sec  11525  
[  4]  82.00-83.00  sec  91.8 MBytes   770 Mbits/sec  11752  
[  4]  83.00-84.00  sec  91.0 MBytes   763 Mbits/sec  11647  
[  4]  84.00-85.00  sec  91.6 MBytes   769 Mbits/sec  11729  
[  4]  85.00-86.00  sec  90.7 MBytes   761 Mbits/sec  11608  
[  4]  86.00-87.00  sec  91.6 MBytes   768 Mbits/sec  11726  
[  4]  87.00-88.00  sec  90.8 MBytes   762 Mbits/sec  11628  
[  4]  88.00-89.00  sec  92.4 MBytes   775 Mbits/sec  11824  
[  4]  89.00-90.00  sec  91.4 MBytes   767 Mbits/sec  11705  
[  4]  90.00-91.00  sec  90.8 MBytes   761 Mbits/sec  11616  
[  4]  91.00-92.00  sec  93.2 MBytes   782 Mbits/sec  11927  
[  4]  92.00-93.00  sec  91.8 MBytes   770 Mbits/sec  11753  
[  4]  93.00-94.00  sec  91.8 MBytes   770 Mbits/sec  11752  
[  4]  94.00-95.00  sec  92.8 MBytes   779 Mbits/sec  11881  
[  4]  95.00-96.00  sec  92.8 MBytes   778 Mbits/sec  11872  
[  4]  96.00-97.00  sec  91.8 MBytes   770 Mbits/sec  11752  
[  4]  97.00-98.00  sec  90.6 MBytes   760 Mbits/sec  11593  
[  4]  98.00-99.00  sec  91.4 MBytes   767 Mbits/sec  11705  
[  4]  99.00-100.00 sec  91.6 MBytes   768 Mbits/sec  11719  
- - - - - - - - - - - - - - - - - - - - - - - - -
[ ID] Interval           Transfer     Bandwidth       Jitter    Lost/Total Datagrams
[  4]   0.00-100.00 sec  8.93 GBytes   767 Mbits/sec  0.000 ms  0/1170418 (0%)  
[  4] Sent 1170418 datagrams
