2019-10-01 09:27:52,521 bgpreplay INFO {'withdraw': [], 'nlri': ['1.2.2.0/24'], 'attr': {'local_pref': 150, 'as_path': [5], 'nexthop': '10.0.20.1', 'origin': 2}}
2019-10-01 09:28:02,537 bgpreplay INFO {'withdraw': ['1.2.2.0/24'], 'nlri': [], 'attr': {'local_pref': None, 'as_path': [], 'nexthop': None, 'origin': 2}}
2019-10-01 09:28:12,557 bgpreplay INFO {'withdraw': [], 'nlri': ['1.2.2.0/24'], 'attr': {'local_pref': 150, 'as_path': [5], 'nexthop': '10.0.20.1', 'origin': 2}}
2019-10-01 09:28:22,577 bgpreplay INFO {'withdraw': ['1.2.2.0/24'], 'nlri': [], 'attr': {'local_pref': None, 'as_path': [], 'nexthop': None, 'origin': 2}}
2019-10-01 09:28:32,597 bgpreplay INFO {'withdraw': [], 'nlri': ['1.2.2.0/24'], 'attr': {'local_pref': 150, 'as_path': [5], 'nexthop': '10.0.20.1', 'origin': 2}}
2019-10-01 09:28:42,611 bgpreplay INFO {'withdraw': ['1.2.2.0/24'], 'nlri': [], 'attr': {'local_pref': None, 'as_path': [], 'nexthop': None, 'origin': 2}}
2019-10-01 09:28:52,628 bgpreplay INFO {'withdraw': [], 'nlri': ['1.2.2.0/24'], 'attr': {'local_pref': 150, 'as_path': [5], 'nexthop': '10.0.20.1', 'origin': 2}}
2019-10-01 09:29:02,645 bgpreplay INFO {'withdraw': ['1.2.2.0/24'], 'nlri': [], 'attr': {'local_pref': None, 'as_path': [], 'nexthop': None, 'origin': 2}}
2019-10-01 09:29:12,662 bgpreplay INFO {'withdraw': [], 'nlri': ['1.2.2.0/24'], 'attr': {'local_pref': 150, 'as_path': [5], 'nexthop': '10.0.20.1', 'origin': 2}}
2019-10-01 09:29:22,678 bgpreplay INFO {'withdraw': ['1.2.2.0/24'], 'nlri': [], 'attr': {'local_pref': None, 'as_path': [], 'nexthop': None, 'origin': 2}}
2019-10-01 09:29:32,714 bgpreplay INFO {'withdraw': [], 'nlri': ['1.2.2.0/24'], 'attr': {'local_pref': 150, 'as_path': [5], 'nexthop': '10.0.20.1', 'origin': 2}}
2019-10-01 09:29:42,729 bgpreplay INFO {'withdraw': ['1.2.2.0/24'], 'nlri': [], 'attr': {'local_pref': None, 'as_path': [], 'nexthop': None, 'origin': 2}}
2019-10-01 09:29:52,744 bgpreplay INFO {'withdraw': [], 'nlri': ['1.2.2.0/24'], 'attr': {'local_pref': 150, 'as_path': [5], 'nexthop': '10.0.20.1', 'origin': 2}}
2019-10-01 09:30:02,759 bgpreplay INFO {'withdraw': ['1.2.2.0/24'], 'nlri': [], 'attr': {'local_pref': None, 'as_path': [], 'nexthop': None, 'origin': 2}}
2019-10-01 09:30:12,776 bgpreplay INFO {'withdraw': [], 'nlri': ['1.2.2.0/24'], 'attr': {'local_pref': 150, 'as_path': [5], 'nexthop': '10.0.20.1', 'origin': 2}}
2019-10-01 09:30:22,792 bgpreplay INFO {'withdraw': ['1.2.2.0/24'], 'nlri': [], 'attr': {'local_pref': None, 'as_path': [], 'nexthop': None, 'origin': 2}}
2019-10-01 09:30:32,806 bgpreplay INFO {'withdraw': [], 'nlri': ['1.2.2.0/24'], 'attr': {'local_pref': 150, 'as_path': [5], 'nexthop': '10.0.20.1', 'origin': 2}}
2019-10-01 09:30:42,819 bgpreplay INFO {'withdraw': ['1.2.2.0/24'], 'nlri': [], 'attr': {'local_pref': None, 'as_path': [], 'nexthop': None, 'origin': 2}}
2019-10-01 09:30:52,837 bgpreplay INFO {'withdraw': [], 'nlri': ['1.2.2.0/24'], 'attr': {'local_pref': 150, 'as_path': [5], 'nexthop': '10.0.20.1', 'origin': 2}}
2019-10-01 09:31:02,853 bgpreplay INFO {'withdraw': ['1.2.2.0/24'], 'nlri': [], 'attr': {'local_pref': None, 'as_path': [], 'nexthop': None, 'origin': 2}}
2019-10-01 09:31:12,873 bgpreplay INFO {'withdraw': [], 'nlri': ['1.2.2.0/24'], 'attr': {'local_pref': 150, 'as_path': [5], 'nexthop': '10.0.20.1', 'origin': 2}}
2019-10-01 09:31:22,889 bgpreplay INFO {'withdraw': ['1.2.2.0/24'], 'nlri': [], 'attr': {'local_pref': None, 'as_path': [], 'nexthop': None, 'origin': 2}}
2019-10-01 09:31:32,909 bgpreplay INFO {'withdraw': [], 'nlri': ['1.2.2.0/24'], 'attr': {'local_pref': 150, 'as_path': [5], 'nexthop': '10.0.20.1', 'origin': 2}}
2019-10-01 09:31:42,924 bgpreplay INFO {'withdraw': ['1.2.2.0/24'], 'nlri': [], 'attr': {'local_pref': None, 'as_path': [], 'nexthop': None, 'origin': 2}}
2019-10-01 09:31:52,934 bgpreplay INFO {'withdraw': [], 'nlri': ['1.2.2.0/24'], 'attr': {'local_pref': 150, 'as_path': [5], 'nexthop': '10.0.20.1', 'origin': 2}}
2019-10-01 09:32:02,948 bgpreplay INFO {'withdraw': ['1.2.2.0/24'], 'nlri': [], 'attr': {'local_pref': None, 'as_path': [], 'nexthop': None, 'origin': 2}}
2019-10-01 09:32:12,962 bgpreplay INFO {'withdraw': [], 'nlri': ['1.2.2.0/24'], 'attr': {'local_pref': 150, 'as_path': [5], 'nexthop': '10.0.20.1', 'origin': 2}}
2019-10-01 09:32:22,977 bgpreplay INFO {'withdraw': ['1.2.2.0/24'], 'nlri': [], 'attr': {'local_pref': None, 'as_path': [], 'nexthop': None, 'origin': 2}}
