2019-10-13 22:49:56,518 bgpreplay INFO {'attr': {'local_pref': 100, 'as_path': [5], 'origin': 2, 'nexthop': '10.0.20.1'}, 'withdraw': [], 'nlri': ['1.2.2.0/24']}
2019-10-13 22:50:11,538 bgpreplay INFO {'attr': {'local_pref': None, 'as_path': [], 'origin': 2, 'nexthop': None}, 'withdraw': ['1.2.2.0/24'], 'nlri': []}
2019-10-13 22:50:26,559 bgpreplay INFO {'attr': {'local_pref': 100, 'as_path': [5], 'origin': 2, 'nexthop': '10.0.20.1'}, 'withdraw': [], 'nlri': ['1.2.2.0/24']}
2019-10-13 22:50:41,579 bgpreplay INFO {'attr': {'local_pref': None, 'as_path': [], 'origin': 2, 'nexthop': None}, 'withdraw': ['1.2.2.0/24'], 'nlri': []}
2019-10-13 22:50:56,601 bgpreplay INFO {'attr': {'local_pref': 100, 'as_path': [5], 'origin': 2, 'nexthop': '10.0.20.1'}, 'withdraw': [], 'nlri': ['1.2.2.0/24']}
2019-10-13 22:51:11,619 bgpreplay INFO {'attr': {'local_pref': None, 'as_path': [], 'origin': 2, 'nexthop': None}, 'withdraw': ['1.2.2.0/24'], 'nlri': []}
2019-10-13 22:51:26,639 bgpreplay INFO {'attr': {'local_pref': 100, 'as_path': [5], 'origin': 2, 'nexthop': '10.0.20.1'}, 'withdraw': [], 'nlri': ['1.2.2.0/24']}
2019-10-13 22:51:41,661 bgpreplay INFO {'attr': {'local_pref': None, 'as_path': [], 'origin': 2, 'nexthop': None}, 'withdraw': ['1.2.2.0/24'], 'nlri': []}
2019-10-13 22:51:56,681 bgpreplay INFO {'attr': {'local_pref': 100, 'as_path': [5], 'origin': 2, 'nexthop': '10.0.20.1'}, 'withdraw': [], 'nlri': ['1.2.2.0/24']}
2019-10-13 22:52:11,701 bgpreplay INFO {'attr': {'local_pref': None, 'as_path': [], 'origin': 2, 'nexthop': None}, 'withdraw': ['1.2.2.0/24'], 'nlri': []}
2019-10-13 22:52:26,720 bgpreplay INFO {'attr': {'local_pref': 100, 'as_path': [5], 'origin': 2, 'nexthop': '10.0.20.1'}, 'withdraw': [], 'nlri': ['1.2.2.0/24']}
2019-10-13 22:52:41,736 bgpreplay INFO {'attr': {'local_pref': None, 'as_path': [], 'origin': 2, 'nexthop': None}, 'withdraw': ['1.2.2.0/24'], 'nlri': []}
2019-10-13 22:52:56,754 bgpreplay INFO {'attr': {'local_pref': 100, 'as_path': [5], 'origin': 2, 'nexthop': '10.0.20.1'}, 'withdraw': [], 'nlri': ['1.2.2.0/24']}
2019-10-13 22:53:11,773 bgpreplay INFO {'attr': {'local_pref': None, 'as_path': [], 'origin': 2, 'nexthop': None}, 'withdraw': ['1.2.2.0/24'], 'nlri': []}
2019-10-13 22:53:26,793 bgpreplay INFO {'attr': {'local_pref': 100, 'as_path': [5], 'origin': 2, 'nexthop': '10.0.20.1'}, 'withdraw': [], 'nlri': ['1.2.2.0/24']}
2019-10-13 22:53:41,813 bgpreplay INFO {'attr': {'local_pref': None, 'as_path': [], 'origin': 2, 'nexthop': None}, 'withdraw': ['1.2.2.0/24'], 'nlri': []}
2019-10-13 22:53:56,833 bgpreplay INFO {'attr': {'local_pref': 100, 'as_path': [5], 'origin': 2, 'nexthop': '10.0.20.1'}, 'withdraw': [], 'nlri': ['1.2.2.0/24']}
2019-10-13 22:54:11,852 bgpreplay INFO {'attr': {'local_pref': None, 'as_path': [], 'origin': 2, 'nexthop': None}, 'withdraw': ['1.2.2.0/24'], 'nlri': []}
2019-10-13 22:54:26,870 bgpreplay INFO {'attr': {'local_pref': 100, 'as_path': [5], 'origin': 2, 'nexthop': '10.0.20.1'}, 'withdraw': [], 'nlri': ['1.2.2.0/24']}
2019-10-13 22:54:41,874 bgpreplay INFO {'attr': {'local_pref': None, 'as_path': [], 'origin': 2, 'nexthop': None}, 'withdraw': ['1.2.2.0/24'], 'nlri': []}
2019-10-13 22:54:56,893 bgpreplay INFO {'attr': {'local_pref': 100, 'as_path': [5], 'origin': 2, 'nexthop': '10.0.20.1'}, 'withdraw': [], 'nlri': ['1.2.2.0/24']}
2019-10-13 22:55:11,908 bgpreplay INFO {'attr': {'local_pref': None, 'as_path': [], 'origin': 2, 'nexthop': None}, 'withdraw': ['1.2.2.0/24'], 'nlri': []}
2019-10-13 22:55:26,928 bgpreplay INFO {'attr': {'local_pref': 100, 'as_path': [5], 'origin': 2, 'nexthop': '10.0.20.1'}, 'withdraw': [], 'nlri': ['1.2.2.0/24']}
2019-10-13 22:55:41,935 bgpreplay INFO {'attr': {'local_pref': None, 'as_path': [], 'origin': 2, 'nexthop': None}, 'withdraw': ['1.2.2.0/24'], 'nlri': []}
2019-10-13 22:55:56,956 bgpreplay INFO {'attr': {'local_pref': 100, 'as_path': [5], 'origin': 2, 'nexthop': '10.0.20.1'}, 'withdraw': [], 'nlri': ['1.2.2.0/24']}
2019-10-13 22:56:11,975 bgpreplay INFO {'attr': {'local_pref': None, 'as_path': [], 'origin': 2, 'nexthop': None}, 'withdraw': ['1.2.2.0/24'], 'nlri': []}
2019-10-13 22:56:26,988 bgpreplay INFO {'attr': {'local_pref': 100, 'as_path': [5], 'origin': 2, 'nexthop': '10.0.20.1'}, 'withdraw': [], 'nlri': ['1.2.2.0/24']}
2019-10-13 22:56:42,009 bgpreplay INFO {'attr': {'local_pref': None, 'as_path': [], 'origin': 2, 'nexthop': None}, 'withdraw': ['1.2.2.0/24'], 'nlri': []}
2019-10-13 22:56:57,051 bgpreplay INFO {'attr': {'local_pref': 100, 'as_path': [5], 'origin': 2, 'nexthop': '10.0.20.1'}, 'withdraw': [], 'nlri': ['1.2.2.0/24']}
2019-10-13 22:57:12,073 bgpreplay INFO {'attr': {'local_pref': None, 'as_path': [], 'origin': 2, 'nexthop': None}, 'withdraw': ['1.2.2.0/24'], 'nlri': []}
2019-10-13 22:57:27,093 bgpreplay INFO {'attr': {'local_pref': 100, 'as_path': [5], 'origin': 2, 'nexthop': '10.0.20.1'}, 'withdraw': [], 'nlri': ['1.2.2.0/24']}
2019-10-13 22:57:42,116 bgpreplay INFO {'attr': {'local_pref': None, 'as_path': [], 'origin': 2, 'nexthop': None}, 'withdraw': ['1.2.2.0/24'], 'nlri': []}
2019-10-13 22:57:57,137 bgpreplay INFO {'attr': {'local_pref': 100, 'as_path': [5], 'origin': 2, 'nexthop': '10.0.20.1'}, 'withdraw': [], 'nlri': ['1.2.2.0/24']}
2019-10-13 22:58:12,159 bgpreplay INFO {'attr': {'local_pref': None, 'as_path': [], 'origin': 2, 'nexthop': None}, 'withdraw': ['1.2.2.0/24'], 'nlri': []}
