2019-10-13 14:43:04,110 bgpreplay INFO {'attr': {'as_path': [5], 'nexthop': '10.0.20.1', 'origin': 2, 'local_pref': 100}, 'withdraw': [], 'nlri': ['1.2.2.0/24']}
2019-10-13 14:43:19,133 bgpreplay INFO {'attr': {'as_path': [], 'nexthop': None, 'origin': 2, 'local_pref': None}, 'withdraw': ['1.2.2.0/24'], 'nlri': []}
2019-10-13 14:43:34,153 bgpreplay INFO {'attr': {'as_path': [5], 'nexthop': '10.0.20.1', 'origin': 2, 'local_pref': 100}, 'withdraw': [], 'nlri': ['1.2.2.0/24']}
2019-10-13 14:43:49,175 bgpreplay INFO {'attr': {'as_path': [], 'nexthop': None, 'origin': 2, 'local_pref': None}, 'withdraw': ['1.2.2.0/24'], 'nlri': []}
2019-10-13 14:44:04,188 bgpreplay INFO {'attr': {'as_path': [5], 'nexthop': '10.0.20.1', 'origin': 2, 'local_pref': 100}, 'withdraw': [], 'nlri': ['1.2.2.0/24']}
2019-10-13 14:44:19,204 bgpreplay INFO {'attr': {'as_path': [], 'nexthop': None, 'origin': 2, 'local_pref': None}, 'withdraw': ['1.2.2.0/24'], 'nlri': []}
2019-10-13 14:44:34,222 bgpreplay INFO {'attr': {'as_path': [5], 'nexthop': '10.0.20.1', 'origin': 2, 'local_pref': 100}, 'withdraw': [], 'nlri': ['1.2.2.0/24']}
2019-10-13 14:44:49,240 bgpreplay INFO {'attr': {'as_path': [], 'nexthop': None, 'origin': 2, 'local_pref': None}, 'withdraw': ['1.2.2.0/24'], 'nlri': []}
2019-10-13 14:45:04,258 bgpreplay INFO {'attr': {'as_path': [5], 'nexthop': '10.0.20.1', 'origin': 2, 'local_pref': 100}, 'withdraw': [], 'nlri': ['1.2.2.0/24']}
2019-10-13 14:45:19,276 bgpreplay INFO {'attr': {'as_path': [], 'nexthop': None, 'origin': 2, 'local_pref': None}, 'withdraw': ['1.2.2.0/24'], 'nlri': []}
2019-10-13 14:45:34,296 bgpreplay INFO {'attr': {'as_path': [5], 'nexthop': '10.0.20.1', 'origin': 2, 'local_pref': 100}, 'withdraw': [], 'nlri': ['1.2.2.0/24']}
2019-10-13 14:45:49,315 bgpreplay INFO {'attr': {'as_path': [], 'nexthop': None, 'origin': 2, 'local_pref': None}, 'withdraw': ['1.2.2.0/24'], 'nlri': []}
2019-10-13 14:46:04,333 bgpreplay INFO {'attr': {'as_path': [5], 'nexthop': '10.0.20.1', 'origin': 2, 'local_pref': 100}, 'withdraw': [], 'nlri': ['1.2.2.0/24']}
2019-10-13 14:46:19,357 bgpreplay INFO {'attr': {'as_path': [], 'nexthop': None, 'origin': 2, 'local_pref': None}, 'withdraw': ['1.2.2.0/24'], 'nlri': []}
2019-10-13 14:46:34,375 bgpreplay INFO {'attr': {'as_path': [5], 'nexthop': '10.0.20.1', 'origin': 2, 'local_pref': 100}, 'withdraw': [], 'nlri': ['1.2.2.0/24']}
2019-10-13 14:46:49,394 bgpreplay INFO {'attr': {'as_path': [], 'nexthop': None, 'origin': 2, 'local_pref': None}, 'withdraw': ['1.2.2.0/24'], 'nlri': []}
2019-10-13 14:47:04,416 bgpreplay INFO {'attr': {'as_path': [5], 'nexthop': '10.0.20.1', 'origin': 2, 'local_pref': 100}, 'withdraw': [], 'nlri': ['1.2.2.0/24']}
2019-10-13 14:47:19,435 bgpreplay INFO {'attr': {'as_path': [], 'nexthop': None, 'origin': 2, 'local_pref': None}, 'withdraw': ['1.2.2.0/24'], 'nlri': []}
2019-10-13 14:47:34,458 bgpreplay INFO {'attr': {'as_path': [5], 'nexthop': '10.0.20.1', 'origin': 2, 'local_pref': 100}, 'withdraw': [], 'nlri': ['1.2.2.0/24']}
2019-10-13 14:47:49,478 bgpreplay INFO {'attr': {'as_path': [], 'nexthop': None, 'origin': 2, 'local_pref': None}, 'withdraw': ['1.2.2.0/24'], 'nlri': []}
2019-10-13 14:48:04,498 bgpreplay INFO {'attr': {'as_path': [5], 'nexthop': '10.0.20.1', 'origin': 2, 'local_pref': 100}, 'withdraw': [], 'nlri': ['1.2.2.0/24']}
2019-10-13 14:48:19,520 bgpreplay INFO {'attr': {'as_path': [], 'nexthop': None, 'origin': 2, 'local_pref': None}, 'withdraw': ['1.2.2.0/24'], 'nlri': []}
2019-10-13 14:48:34,541 bgpreplay INFO {'attr': {'as_path': [5], 'nexthop': '10.0.20.1', 'origin': 2, 'local_pref': 100}, 'withdraw': [], 'nlri': ['1.2.2.0/24']}
2019-10-13 14:48:49,567 bgpreplay INFO {'attr': {'as_path': [], 'nexthop': None, 'origin': 2, 'local_pref': None}, 'withdraw': ['1.2.2.0/24'], 'nlri': []}
2019-10-13 14:49:04,589 bgpreplay INFO {'attr': {'as_path': [5], 'nexthop': '10.0.20.1', 'origin': 2, 'local_pref': 100}, 'withdraw': [], 'nlri': ['1.2.2.0/24']}
2019-10-13 14:49:19,608 bgpreplay INFO {'attr': {'as_path': [], 'nexthop': None, 'origin': 2, 'local_pref': None}, 'withdraw': ['1.2.2.0/24'], 'nlri': []}
2019-10-13 14:49:34,628 bgpreplay INFO {'attr': {'as_path': [5], 'nexthop': '10.0.20.1', 'origin': 2, 'local_pref': 100}, 'withdraw': [], 'nlri': ['1.2.2.0/24']}
2019-10-13 14:49:49,649 bgpreplay INFO {'attr': {'as_path': [], 'nexthop': None, 'origin': 2, 'local_pref': None}, 'withdraw': ['1.2.2.0/24'], 'nlri': []}
2019-10-13 14:50:04,689 bgpreplay INFO {'attr': {'as_path': [5], 'nexthop': '10.0.20.1', 'origin': 2, 'local_pref': 100}, 'withdraw': [], 'nlri': ['1.2.2.0/24']}
2019-10-13 14:50:19,712 bgpreplay INFO {'attr': {'as_path': [], 'nexthop': None, 'origin': 2, 'local_pref': None}, 'withdraw': ['1.2.2.0/24'], 'nlri': []}
2019-10-13 14:50:34,730 bgpreplay INFO {'attr': {'as_path': [5], 'nexthop': '10.0.20.1', 'origin': 2, 'local_pref': 100}, 'withdraw': [], 'nlri': ['1.2.2.0/24']}
2019-10-13 14:50:49,752 bgpreplay INFO {'attr': {'as_path': [], 'nexthop': None, 'origin': 2, 'local_pref': None}, 'withdraw': ['1.2.2.0/24'], 'nlri': []}
2019-10-13 14:51:04,776 bgpreplay INFO {'attr': {'as_path': [5], 'nexthop': '10.0.20.1', 'origin': 2, 'local_pref': 100}, 'withdraw': [], 'nlri': ['1.2.2.0/24']}
2019-10-13 14:51:19,796 bgpreplay INFO {'attr': {'as_path': [], 'nexthop': None, 'origin': 2, 'local_pref': None}, 'withdraw': ['1.2.2.0/24'], 'nlri': []}
2019-10-13 14:51:34,819 bgpreplay INFO {'attr': {'as_path': [5], 'nexthop': '10.0.20.1', 'origin': 2, 'local_pref': 100}, 'withdraw': [], 'nlri': ['1.2.2.0/24']}
2019-10-13 14:51:49,838 bgpreplay INFO {'attr': {'as_path': [], 'nexthop': None, 'origin': 2, 'local_pref': None}, 'withdraw': ['1.2.2.0/24'], 'nlri': []}
2019-10-13 14:52:04,861 bgpreplay INFO {'attr': {'as_path': [5], 'nexthop': '10.0.20.1', 'origin': 2, 'local_pref': 100}, 'withdraw': [], 'nlri': ['1.2.2.0/24']}
2019-10-13 14:52:19,879 bgpreplay INFO {'attr': {'as_path': [], 'nexthop': None, 'origin': 2, 'local_pref': None}, 'withdraw': ['1.2.2.0/24'], 'nlri': []}
2019-10-13 14:52:34,899 bgpreplay INFO {'attr': {'as_path': [5], 'nexthop': '10.0.20.1', 'origin': 2, 'local_pref': 100}, 'withdraw': [], 'nlri': ['1.2.2.0/24']}
2019-10-13 14:52:49,917 bgpreplay INFO {'attr': {'as_path': [], 'nexthop': None, 'origin': 2, 'local_pref': None}, 'withdraw': ['1.2.2.0/24'], 'nlri': []}
2019-10-13 14:53:04,937 bgpreplay INFO {'attr': {'as_path': [5], 'nexthop': '10.0.20.1', 'origin': 2, 'local_pref': 100}, 'withdraw': [], 'nlri': ['1.2.2.0/24']}
2019-10-13 14:53:19,955 bgpreplay INFO {'attr': {'as_path': [], 'nexthop': None, 'origin': 2, 'local_pref': None}, 'withdraw': ['1.2.2.0/24'], 'nlri': []}
