2019-10-14 18:52:04,864 bgpreplay INFO {'attr': {'as_path': [5], 'nexthop': '10.0.20.1', 'local_pref': 100, 'origin': 2}, 'nlri': ['1.2.2.0/24'], 'withdraw': []}
2019-10-14 18:52:19,883 bgpreplay INFO {'attr': {'as_path': [], 'nexthop': None, 'local_pref': None, 'origin': 2}, 'nlri': [], 'withdraw': ['1.2.2.0/24']}
2019-10-14 18:52:34,902 bgpreplay INFO {'attr': {'as_path': [5], 'nexthop': '10.0.20.1', 'local_pref': 100, 'origin': 2}, 'nlri': ['1.2.2.0/24'], 'withdraw': []}
2019-10-14 18:52:49,921 bgpreplay INFO {'attr': {'as_path': [], 'nexthop': None, 'local_pref': None, 'origin': 2}, 'nlri': [], 'withdraw': ['1.2.2.0/24']}
2019-10-14 18:53:04,941 bgpreplay INFO {'attr': {'as_path': [5], 'nexthop': '10.0.20.1', 'local_pref': 100, 'origin': 2}, 'nlri': ['1.2.2.0/24'], 'withdraw': []}
2019-10-14 18:53:19,959 bgpreplay INFO {'attr': {'as_path': [], 'nexthop': None, 'local_pref': None, 'origin': 2}, 'nlri': [], 'withdraw': ['1.2.2.0/24']}
2019-10-14 18:53:34,980 bgpreplay INFO {'attr': {'as_path': [5], 'nexthop': '10.0.20.1', 'local_pref': 100, 'origin': 2}, 'nlri': ['1.2.2.0/24'], 'withdraw': []}
2019-10-14 18:53:50,000 bgpreplay INFO {'attr': {'as_path': [], 'nexthop': None, 'local_pref': None, 'origin': 2}, 'nlri': [], 'withdraw': ['1.2.2.0/24']}
2019-10-14 18:54:05,021 bgpreplay INFO {'attr': {'as_path': [5], 'nexthop': '10.0.20.1', 'local_pref': 100, 'origin': 2}, 'nlri': ['1.2.2.0/24'], 'withdraw': []}
2019-10-14 18:54:20,041 bgpreplay INFO {'attr': {'as_path': [], 'nexthop': None, 'local_pref': None, 'origin': 2}, 'nlri': [], 'withdraw': ['1.2.2.0/24']}
2019-10-14 18:54:35,077 bgpreplay INFO {'attr': {'as_path': [5], 'nexthop': '10.0.20.1', 'local_pref': 100, 'origin': 2}, 'nlri': ['1.2.2.0/24'], 'withdraw': []}
2019-10-14 18:54:50,095 bgpreplay INFO {'attr': {'as_path': [], 'nexthop': None, 'local_pref': None, 'origin': 2}, 'nlri': [], 'withdraw': ['1.2.2.0/24']}
2019-10-14 18:55:05,114 bgpreplay INFO {'attr': {'as_path': [5], 'nexthop': '10.0.20.1', 'local_pref': 100, 'origin': 2}, 'nlri': ['1.2.2.0/24'], 'withdraw': []}
2019-10-14 18:55:20,137 bgpreplay INFO {'attr': {'as_path': [], 'nexthop': None, 'local_pref': None, 'origin': 2}, 'nlri': [], 'withdraw': ['1.2.2.0/24']}
2019-10-14 18:55:35,147 bgpreplay INFO {'attr': {'as_path': [5], 'nexthop': '10.0.20.1', 'local_pref': 100, 'origin': 2}, 'nlri': ['1.2.2.0/24'], 'withdraw': []}
2019-10-14 18:55:50,160 bgpreplay INFO {'attr': {'as_path': [], 'nexthop': None, 'local_pref': None, 'origin': 2}, 'nlri': [], 'withdraw': ['1.2.2.0/24']}
2019-10-14 18:56:05,184 bgpreplay INFO {'attr': {'as_path': [5], 'nexthop': '10.0.20.1', 'local_pref': 100, 'origin': 2}, 'nlri': ['1.2.2.0/24'], 'withdraw': []}
2019-10-14 18:56:20,204 bgpreplay INFO {'attr': {'as_path': [], 'nexthop': None, 'local_pref': None, 'origin': 2}, 'nlri': [], 'withdraw': ['1.2.2.0/24']}
2019-10-14 18:56:35,213 bgpreplay INFO {'attr': {'as_path': [5], 'nexthop': '10.0.20.1', 'local_pref': 100, 'origin': 2}, 'nlri': ['1.2.2.0/24'], 'withdraw': []}
