2019-10-15 21:30:31,523 bgpreplay INFO {'attr': {'origin': 2, 'as_path': [5], 'local_pref': 100, 'nexthop': '10.0.20.1'}, 'withdraw': [], 'nlri': ['1.2.2.0/24']}
2019-10-15 21:30:46,544 bgpreplay INFO {'attr': {'origin': 2, 'as_path': [], 'local_pref': None, 'nexthop': None}, 'withdraw': ['1.2.2.0/24'], 'nlri': []}
2019-10-15 21:31:01,567 bgpreplay INFO {'attr': {'origin': 2, 'as_path': [5], 'local_pref': 100, 'nexthop': '10.0.20.1'}, 'withdraw': [], 'nlri': ['1.2.2.0/24']}
2019-10-15 21:31:16,594 bgpreplay INFO {'attr': {'origin': 2, 'as_path': [], 'local_pref': None, 'nexthop': None}, 'withdraw': ['1.2.2.0/24'], 'nlri': []}
2019-10-15 21:31:31,612 bgpreplay INFO {'attr': {'origin': 2, 'as_path': [5], 'local_pref': 100, 'nexthop': '10.0.20.1'}, 'withdraw': [], 'nlri': ['1.2.2.0/24']}
2019-10-15 21:31:46,634 bgpreplay INFO {'attr': {'origin': 2, 'as_path': [], 'local_pref': None, 'nexthop': None}, 'withdraw': ['1.2.2.0/24'], 'nlri': []}
2019-10-15 21:32:01,652 bgpreplay INFO {'attr': {'origin': 2, 'as_path': [5], 'local_pref': 100, 'nexthop': '10.0.20.1'}, 'withdraw': [], 'nlri': ['1.2.2.0/24']}
2019-10-15 21:32:16,662 bgpreplay INFO {'attr': {'origin': 2, 'as_path': [], 'local_pref': None, 'nexthop': None}, 'withdraw': ['1.2.2.0/24'], 'nlri': []}
2019-10-15 21:32:31,680 bgpreplay INFO {'attr': {'origin': 2, 'as_path': [5], 'local_pref': 100, 'nexthop': '10.0.20.1'}, 'withdraw': [], 'nlri': ['1.2.2.0/24']}
2019-10-15 21:32:46,700 bgpreplay INFO {'attr': {'origin': 2, 'as_path': [], 'local_pref': None, 'nexthop': None}, 'withdraw': ['1.2.2.0/24'], 'nlri': []}
2019-10-15 21:33:01,736 bgpreplay INFO {'attr': {'origin': 2, 'as_path': [5], 'local_pref': 100, 'nexthop': '10.0.20.1'}, 'withdraw': [], 'nlri': ['1.2.2.0/24']}
2019-10-15 21:33:16,748 bgpreplay INFO {'attr': {'origin': 2, 'as_path': [], 'local_pref': None, 'nexthop': None}, 'withdraw': ['1.2.2.0/24'], 'nlri': []}
2019-10-15 21:33:31,754 bgpreplay INFO {'attr': {'origin': 2, 'as_path': [5], 'local_pref': 100, 'nexthop': '10.0.20.1'}, 'withdraw': [], 'nlri': ['1.2.2.0/24']}
2019-10-15 21:33:46,774 bgpreplay INFO {'attr': {'origin': 2, 'as_path': [], 'local_pref': None, 'nexthop': None}, 'withdraw': ['1.2.2.0/24'], 'nlri': []}
2019-10-15 21:34:01,788 bgpreplay INFO {'attr': {'origin': 2, 'as_path': [5], 'local_pref': 100, 'nexthop': '10.0.20.1'}, 'withdraw': [], 'nlri': ['1.2.2.0/24']}
2019-10-15 21:34:16,808 bgpreplay INFO {'attr': {'origin': 2, 'as_path': [], 'local_pref': None, 'nexthop': None}, 'withdraw': ['1.2.2.0/24'], 'nlri': []}
2019-10-15 21:34:31,828 bgpreplay INFO {'attr': {'origin': 2, 'as_path': [5], 'local_pref': 100, 'nexthop': '10.0.20.1'}, 'withdraw': [], 'nlri': ['1.2.2.0/24']}
2019-10-15 21:34:46,840 bgpreplay INFO {'attr': {'origin': 2, 'as_path': [], 'local_pref': None, 'nexthop': None}, 'withdraw': ['1.2.2.0/24'], 'nlri': []}
2019-10-15 21:35:01,859 bgpreplay INFO {'attr': {'origin': 2, 'as_path': [5], 'local_pref': 100, 'nexthop': '10.0.20.1'}, 'withdraw': [], 'nlri': ['1.2.2.0/24']}
2019-10-15 21:35:16,880 bgpreplay INFO {'attr': {'origin': 2, 'as_path': [], 'local_pref': None, 'nexthop': None}, 'withdraw': ['1.2.2.0/24'], 'nlri': []}
2019-10-15 21:35:31,902 bgpreplay INFO {'attr': {'origin': 2, 'as_path': [5], 'local_pref': 100, 'nexthop': '10.0.20.1'}, 'withdraw': [], 'nlri': ['1.2.2.0/24']}
2019-10-15 21:35:46,924 bgpreplay INFO {'attr': {'origin': 2, 'as_path': [], 'local_pref': None, 'nexthop': None}, 'withdraw': ['1.2.2.0/24'], 'nlri': []}
2019-10-15 21:36:01,947 bgpreplay INFO {'attr': {'origin': 2, 'as_path': [5], 'local_pref': 100, 'nexthop': '10.0.20.1'}, 'withdraw': [], 'nlri': ['1.2.2.0/24']}
2019-10-15 21:36:16,969 bgpreplay INFO {'attr': {'origin': 2, 'as_path': [], 'local_pref': None, 'nexthop': None}, 'withdraw': ['1.2.2.0/24'], 'nlri': []}
2019-10-15 21:36:31,989 bgpreplay INFO {'attr': {'origin': 2, 'as_path': [5], 'local_pref': 100, 'nexthop': '10.0.20.1'}, 'withdraw': [], 'nlri': ['1.2.2.0/24']}
2019-10-15 21:36:47,012 bgpreplay INFO {'attr': {'origin': 2, 'as_path': [], 'local_pref': None, 'nexthop': None}, 'withdraw': ['1.2.2.0/24'], 'nlri': []}
